Variable,Inhalt,Min,Max,Für Vis direkt,Für Popup
depth_index,Tiefe (Index-Modell),,,,
depth_rasch,Tiefe (Rasch-Modell),,,,
NumberSimple,ID für jedes FTA,1,792,,
Number,"ID für jedes FTA, mit ""+"" für accession agreement, ""-"" für withdrawal und ""a"" für add-on agreement (nur in DESTA_depth und AccessionsWithdrawals)",1,792,,
Name,,,,,
Year,Jahr der Unterzeichnung des FTA,1948,2009,,
Coded,0: Tiefe für FTA gemessen; 1: Tiefe für FTA nicht gemessen,0,1,,
WTOListed,FTA (nicht) in der WTO-Liste,0,1,,
WTO_Name,Name des FTA in der WTO-Liste,,,,
WTODateNotification,Datum der WTO-Benachrichtigung,,,,
WTOLegalCover,"Rechtsrahmen der WTO (Enabling Clause, GATT Art. XXIV, GATT Art. XXIV & GATS V, GATS Art. V, GATS V, GATT Art. XXIV, GATT Art. XXIV, Enabling Clause & GATS Art. V, Enabling Clause &, GATT Art. XXIV & GATS V)",,,,
GPTAD_Name,Name des FTA in der World Bank-Liste (Global Preferential Trade Agreements Database),,,,
HBAgreement,Name in der Hufbauer-Liste (World Trade Institute),,,,
HBType,"Typ in der Hufbauer-Liste (PTA_PSA, FTA, C, PTA, PTA/PSA, FTA_C, PTA_FTA, PTA_FTA_C, PTA/FTA/C, A, C)",,,,
HBTypeCode,"1: PTA/PSA, 2: FTA, 3: Customs union, 4: Accession, 5: Consultative framework",1,5,,
WTOType,"Typ in der WTO-Liste (1:PTA, 2:EIA, 2:PTA_EIA, 2:FTA_EIA, 2:FTA, 3:CU, 3:CU_EIA)",,,,
WTOTypeCode,siehe WTOType,1,3,,
TypeMemb,"1: bilateral, 2: plurilateral, 3: plurilateral & third country, 4: region-region (e.g. CARIFORUM EC EPA), 5: accession (e.g. UK EU accession agreement signed in 1972), 6: accession to an agreement as a result of membership in a regional agreement (for example, when Romania entered the EU, it also signed up to the FTA between the EU and Mexico signed in 2000), 7: Withdrawal",1,7,,
NumberMS,Anzahl der Mitgliedsstaaten,2,91,,
NorthSouth,"1: agreements signed among US, Canada, Western European countries, Japan, Australia, New Zealand; 2: agreements signed between one/several of above and all others; 3: agreements excluding those falling into categories 1 and 2",1,3,,
RegionCon,"1: Europe, 2: Asia, 3: Africa, 4: Americas, 5: Oceania, 6: Intercontinental",1,6,,
TypeDepth,"1: partial scope agreement, 2: (full) free trade agreement, 3: customs union, 4: services agreement, 5: framework agreement (no specific provisions)",1,5,,
Sectoral,"0: agreement affecting all/most sectors, 1: single-sector agreement",0,1,,
,,,,,
,,,,,
FTA,Free Trade Agreement,,,,
PTA,Preferential Trade Arrangement,,,,
PSA,Partial Scope Agreement,,,,
EIA,Economic Integration Agreement,,,,
CU,Customs Union,,,,
